,TranscriptionFlux,TranslationFlux
b0002,5.125372930452045e-08,0.0
b0003,5.125372930452045e-08,1.7291746634786397e-06
b0004,5.125372930452045e-08,4.015180268420416e-09
b0007,-7.04543163263787e-32,-2.376955206526574e-30
b0008,0.0,0.0
b0009,0.0,0.0
b0014,1.7984812320520017e-13,3.033816486532118e-12
b0015,1.7984812320520017e-13,6.067632973064236e-12
b0019,0.0,0.0
b0023,1.2836376628319554e-07,4.330677501471464e-06
b0025,1.7707274261805132e-11,5.973998463772343e-10
b0026,4.701212790580127e-10,1.586073473169862e-08
b0027,4.701212790580127e-10,1.5373499817373582e-10
b0029,4.701212790580127e-10,2.6712095326961335e-10
b0030,0.0,0.0
b0031,3.4400117406372896e-09,1.1605752839246417e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.1335761778624607e-10,0.0
b0051,2.1335761778624607e-10,3.701433761941424e-12
b0052,2.1335761778624607e-10,2.539743757963084e-09
b0053,2.1335761778624607e-10,7.198160835168678e-09
b0058,8.085197868238687e-14,2.7277467401258514e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,3.126548056541768e-29
b0066,0.0,0.0
b0067,0.0,0.0
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.7567137407244704e-10,5.926719738572515e-09
b0072,1.7567137407244704e-10,5.926719738572515e-09
b0073,1.7567137407244704e-10,2.5072459752666553e-09
b0074,1.7567137407244704e-10,1.554547898669176e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.328161049140498e-09,2.1349657675780202e-07
b0099,6.328161049140498e-09,1.1648221815033697e-10
b0103,2.1769498216753857e-12,7.344492832784786e-11
b0104,0.0,0.0
b0109,3.7593006885495754e-08,1.268295515515669e-06
b0110,0.0,0.0
b0112,0.0,0.0
b0114,6.9439244334935215e-09,2.342709176178572e-07
b0115,6.9439244334935215e-09,2.342709176178572e-07
b0116,3.938472268226057e-09,1.328743596113131e-07
b0118,3.680398657540891e-44,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,0.0,0.0
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.1492064319080923e-12,1.0624647310569773e-10
b0133,3.278047133197312e-12,6.796048193405213e-11
b0134,3.278047133197312e-12,1.1059324122027645e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.3677846089448474e-14,7.988322430229485e-13
b0155,0.0,0.0
b0156,1.4453656358479385e-13,4.87630787239226e-12
b0158,1.9639261213895182e-13,0.0
b0159,1.9639261213895182e-13,6.625803304718968e-12
b0160,0.0,0.0
b0166,1.010755093298798e-10,3.4100388830830323e-09
b0168,1.1145659416762861e-13,3.760271132022512e-12
b0169,1.2836376628319554e-07,4.330677501471464e-06
b0170,1.2836376628319554e-07,2.616068989436063e-07
b0171,0.0,0.0
b0172,1.887940038310579e-12,6.369444964711316e-11
b0173,4.008400351244382e-08,1.3523356100137183e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.0172511340523884e-11,6.805708771262611e-10
b0177,2.1335761778624607e-10,7.198160835168678e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.29459838406777e-09,2.4725967616965327e-14
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.6493820464136113e-10,1.568587055924107e-08
b0186,0.0,0.0
b0188,1.2775818823750849e-15,4.310246788866351e-14
b0194,5.829464141291106e-10,1.966717706508198e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,0.0
b0200,0.0,0.0
b0201,1.393571343757567e-06,
b0202,1.393571343757567e-06,
b0203,1.393571343757567e-06,
b0204,1.393571343757567e-06,
b0205,1.393571343757567e-06,
b0206,0.0,
b0207,0.0,0.0
b0212,0.0,0.0
b0216,0.0,
b0221,1.5836234270103694e-09,5.34275562702523e-08
b0222,0.0,0.0
b0237,0.0,0.0
b0238,8.24118433238903e-10,2.78037273345637e-08
b0241,0.0,0.0
b0242,2.3502002821768686e-08,2.4725899915211195e-07
b0243,2.3502002821768686e-08,7.928997240171877e-07
b0244,4.160727351009412e-07,
b0260,0.0,0.0
b0261,0.0,0.0
b0273,0.0,0.0
b0306,0.0,0.0
b0307,0.0,0.0
b0308,0.0,0.0
b0311,0.0,0.0
b0312,0.0,0.0
b0314,0.0,0.0
b0323,0.0,0.0
b0331,-1.2459013978950506e-41,-4.178111063115879e-40
b0333,-1.2459013978950506e-41,0.0
b0334,-1.2459013978950506e-41,-1.1036702558579344e-42
b0336,0.0,0.0
b0337,0.0,0.0
b0339,1.3840262790396013e-09,4.669363981467043e-08
b0340,1.3840262790396013e-09,0.0
b0341,0.0,0.0
b0343,0.0,0.0
b0344,0.0,0.0
b0347,4.192231964613096e-09,0.0
b0348,4.192231964613096e-09,0.0
b0349,4.192231964613096e-09,0.0
b0350,4.192231964613096e-09,0.0
b0351,4.192231964613096e-09,1.414355871270209e-07
b0352,4.192231964613096e-09,0.0
b0353,0.0,0.0
b0355,0.0,0.0
b0356,0.0,0.0
b0365,0.0,0.0
b0366,0.0,0.0
b0367,0.0,0.0
b0368,0.0,0.0
b0369,1.3003389312202574e-14,4.387023469924655e-13
b0381,6.932026377289837e-11,2.338695064891212e-09
b0383,0.0,0.0
b0386,3.396603703582436e-08,1.1459304807298086e-06
b0388,0.0,0.0
b0394,0.0,0.0
b0401,0.0,0.0
b0403,0.0,0.0
b0404,0.0,0.0
b0405,6.4908515180057e-14,2.1898535270773777e-12
b0406,3.89451091080342e-13,1.3139121162464265e-11
b0408,1.8269689763315615e-09,6.16374360988287e-08
b0409,1.8269689763315615e-09,6.16374360988287e-08
b0411,0.0,0.0
b0414,1.9402589216260735e-09,6.545955998499972e-08
b0415,1.9402589216260735e-09,1.1024605453392498e-10
b0416,1.9402589216260735e-09,8.787682269222258e-12
b0417,1.9402589216260735e-09,1.1689836209477292e-09
b0418,1.9402589216260735e-09,5.139272991082391e-10
b0420,2.0424086256107425e-08,6.890583955155906e-07
