,TranscriptionFlux,TranslationFlux
b0002,1.60236031299656e-08,0.0
b0003,1.60236031299656e-08,5.405969268177682e-07
b0004,1.60236031299656e-08,1.2552775376437452e-09
b0007,-5.619969377791094e-31,-1.896039330106869e-29
b0008,-1.776352482697035e-37,4.266831937184147e-40
b0009,-4.318966756267726e-33,-1.4571130703431557e-31
b0014,1.8391198758192083e-13,3.102368876879048e-12
b0015,1.8391198758192083e-13,6.204737753758096e-12
b0019,0.0,0.0
b0023,1.2835845069170225e-07,4.330498166499038e-06
b0025,1.668279735257557e-11,5.628365172537393e-10
b0026,4.702469279391065e-10,1.5864973815656605e-08
b0027,4.702469279391065e-10,1.5373444133553953e-10
b0029,4.702469279391065e-10,2.6711060807304244e-10
b0030,0.0,0.0
b0031,3.4411159622717357e-09,1.1609478211232141e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.0370248864194248e-10,0.0
b0051,2.0370248864194248e-10,3.701280484187212e-12
b0052,2.0370248864194248e-10,2.520351188718115e-09
b0053,2.0370248864194248e-10,6.872420544354924e-09
b0058,8.085361075682277e-14,2.7278018022998973e-12
b0061,0.0,-7.733930489630953e-28
b0062,0.0,0.0
b0063,0.0,0.0
b0066,0.0,0.0
b0067,0.0,0.0
b0068,0.0,0.0
b0070,0.0,-1.6582474540153615e-35
b0071,1.7567205439182228e-10,5.9267426908735994e-09
b0072,1.7567205439182228e-10,5.9267426908735994e-09
b0073,1.7567205439182228e-10,2.507255685033112e-09
b0074,1.7567205439182228e-10,1.5545539189389027e-09
b0077,-2.916161743074569e-37,8.660473079961251e-40
b0078,-2.916161743074569e-37,6.947181719684859e-40
b0082,-6.474882360640001e-42,-2.1845290756987146e-40
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
