,TranscriptionFlux,TranslationFlux
b0002,1.602485842177215e-08,0.0
b0003,1.602485842177215e-08,5.406392772733666e-07
b0004,1.602485842177215e-08,1.2553758763004861e-09
b0007,-2.4143416744216116e-30,-8.145394508926471e-29
b0008,0.0,0.0
b0009,1.0112437273290551e-66,1.8120630656389182e-65
b0014,1.8385157651109714e-13,3.101349816466475e-12
b0015,1.8385157651109714e-13,6.20269963293295e-12
b0019,0.0,0.0
b0023,1.283579215055944e-07,4.330480313062373e-06
b0025,1.6683882531758316e-11,5.628731285281499e-10
b0026,4.703277521746886e-10,1.586770062641282e-08
b0027,4.703277521746886e-10,1.5373443997246057e-10
b0029,4.703277521746886e-10,2.6711072057905644e-10
b0030,0.0,0.0
b0031,3.4411249783218388e-09,1.1609508629165849e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,-1.0259735693904974e-30
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.036788539425145e-10,0.0
b0051,2.036788539425145e-10,3.701265224839636e-12
b0052,2.036788539425145e-10,2.520568988792789e-09
b0053,2.036788539425145e-10,6.871623167774052e-09
b0058,8.085406421809555e-14,2.7278171009670266e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,0.0
b0066,4.264983979975006e-32,1.4389006104312148e-30
b0067,4.264983979975006e-32,1.4389006104312148e-30
b0068,4.264983979975006e-32,7.194503052156074e-31
b0070,-7.191200292580788e-36,-2.156438013023028e-34
b0071,1.756582915055786e-10,5.9262783649696735e-09
b0072,1.756582915055786e-10,5.9262783649696735e-09
b0073,1.756582915055786e-10,2.50705925609684e-09
b0074,1.756582915055786e-10,1.5544321286585984e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.303394046668999e-09,2.126609990594539e-07
b0099,6.303394046668999e-09,1.1648221815033697e-10
b0103,2.1769498215554437e-12,7.344492832380132e-11
b0104,0.0,0.0
b0109,3.759302395619418e-08,1.2682960914390135e-06
b0110,0.0,0.0
b0112,-2.8538004442190224e-31,-9.628020223559402e-30
b0114,7.53210331555653e-09,2.5411462527108436e-07
b0115,7.53210331555653e-09,2.5411462527108436e-07
b0116,4.118128472085468e-09,1.3893551769806814e-07
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,4.782035118746123e-36,1.6133409372167505e-34
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.1492064317345827e-12,1.0624647309984394e-10
b0133,3.278047133016704e-12,6.796048193030776e-11
b0134,3.278047133016704e-12,1.1059324121418316e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
