,TranscriptionFlux,TranslationFlux
b0002,1.6023669718736608e-08,-4.1622645182411546e-41
b0003,1.6023669718736608e-08,5.405991733589909e-07
b0004,1.6023669718736608e-08,1.2552827541601445e-09
b0007,-9.618835763232152e-31,-3.245158414741209e-29
b0008,0.0,0.0
b0009,-7.902341872568431e-32,-2.6660556282655717e-30
b0014,1.8389347484522862e-13,3.1020565897959988e-12
b0015,1.8389347484522862e-13,6.2041131795919976e-12
b0019,0.0,-5.191754338434796e-30
b0023,1.283589697963736e-07,4.330515679812851e-06
b0025,1.6684236837089845e-11,5.628850819178979e-10
b0026,4.702491638719815e-10,1.5865049250527963e-08
b0027,4.702491638719815e-10,1.5373444243199095e-10
b0029,4.702491638719815e-10,2.6711066177703125e-10
b0030,5.744158428820969e-31,1.9379376589575224e-29
b0031,3.4411263591114273e-09,1.1609513287610034e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,-1.5700746499928445e-29
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,1.4365620759877067e-26
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.037215002330792e-10,0.0
b0051,2.037215002330792e-10,3.701295452831498e-12
b0052,2.037215002330792e-10,2.520349872334483e-09
b0053,2.037215002330792e-10,6.873061948642028e-09
b0058,8.085395755009945e-14,2.7278135022514058e-12
b0061,1.1219708196604876e-30,-7.3554051528710835e-28
b0062,1.1219708196604876e-30,3.785253367598691e-29
b0063,1.1219708196604876e-30,7.170100389219113e-31
b0066,0.0,0.0
b0067,0.0,1.480084695145352e-26
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.7567277713607428e-10,5.926767074485596e-09
b0072,1.7567277713607428e-10,5.926767074485596e-09
b0073,1.7567277713607428e-10,2.5072660003028967e-09
b0074,1.7567277713607428e-10,1.55456031463407e-09
b0077,-1.240213643523316e-32,-4.184175551082184e-31
b0078,-1.240213643523316e-32,-4.184175550612248e-31
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,9.204372109544163e-31
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.303503186533349e-09,2.126646811698246e-07
b0099,6.303503186533349e-09,1.1648221815033697e-10
b0103,2.1769498215559695e-12,7.344492832381905e-11
b0104,0.0,0.0
b0109,3.7593015626553804e-08,1.268295810417451e-06
b0110,0.0,0.0
b0112,-9.761583761797971e-30,-3.293318075654025e-28
b0114,7.53381330972495e-09,2.541723162651028e-07
b0115,7.53381330972495e-09,2.541723162651028e-07
b0116,4.119124376031666e-09,1.3896911704575252e-07
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,3.787047429606385e-30,1.2776953667189281e-28
b0125,0.0,0.0
b0126,-3.745573143301282e-42,1.9413428758165591e-41
b0131,3.1492064317353432e-12,1.0624647309986961e-10
b0133,3.2780471330174955e-12,6.796048193032418e-11
b0134,3.2780471330174955e-12,1.1059324121420988e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,1.1038945528480827e-34,3.7242434427912556e-33
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.2593169976503994e-14,7.622379409490373e-13
b0155,0.0,-4.264604783589883e-30
b0156,1.2988279320498993e-13,4.38192573066281e-12
b0158,1.9638914967420754e-13,0.0
b0159,1.9638914967420754e-13,6.625686489681502e-12
b0160,0.0,0.0
b0166,1.0110825940123888e-10,3.4111437898749807e-09
b0168,1.1122412851116011e-13,3.7524283129974625e-12
b0169,1.283589697963736e-07,4.330515679812851e-06
b0170,1.283589697963736e-07,2.615969456321117e-07
b0171,0.0,0.0
b0172,1.888193141714948e-12,6.370298873295166e-11
b0173,4.0082459177490836e-08,1.3522835079538516e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.0172473004118926e-11,6.805695837503245e-10
b0177,2.037215002330792e-10,6.873061948642028e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.29459838406777e-09,2.4725967616965378e-14
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.6493820464136113e-10,1.568587055924107e-08
b0186,0.0,0.0
b0188,1.2805304720365121e-15,4.3201946045759977e-14
b0194,5.827111591825941e-10,1.9659240142276665e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,4.630226315121967e-35
b0200,0.0,0.0
b0201,1.393918729037053e-06,
b0202,1.393918729037053e-06,
b0203,1.393918729037053e-06,
b0204,1.393918729037053e-06,
b0205,1.393918729037053e-06,
b0206,0.0,
b0207,0.0,-3.812219800386183e-30
b0212,0.0,0.0
b0216,0.0,
b0221,1.5836232815355505e-09,5.342755136229e-08
b0222,0.0,0.0
b0237,0.0,0.0
b0238,8.198760064711585e-10,2.7660598298335694e-08
b0241,0.0,0.0
b0242,2.3492518309499873e-08,2.4715921484739474e-07
b0243,2.3492518309499873e-08,7.925797399197722e-07
b0244,4.1628357019016445e-07,
b0260,0.0,0.0
b0261,0.0,-5.156285183992935e-35
b0273,0.0,0.0
b0306,0.0,-3.3766635221408533e-29
b0307,0.0,-3.3766635221408533e-29
b0308,0.0,-3.3766635221408533e-29
b0311,0.0,0.0
b0312,0.0,-3.6859610904168493e-63
b0314,-5.823445388587968e-31,-1.9646871275003415e-29
b0323,0.0,0.0
b0331,0.0,0.0
b0333,0.0,0.0
b0334,0.0,0.0
b0336,0.0,0.0
b0337,0.0,0.0
b0339,1.3786835797036806e-09,4.651339029036033e-08
b0340,1.3786835797036806e-09,1.0017432426634246e-28
b0341,0.0,2.895363340128438e-29
b0343,7.899385190347672e-31,9.40976560119502e-27
b0344,5.611915494089422e-31,1.8933221479957312e-29
b0347,1.443189363095154e-13,3.616029247636709e-29
b0348,1.443189363095154e-13,1.2026165723955896e-28
b0349,1.443189363095154e-13,8.815782441817966e-29
b0350,1.443189363095154e-13,9.650793602089072e-29
b0351,1.443189363095154e-13,4.868965663823249e-12
b0352,1.443189363095154e-13,8.102533303247356e-29
b0353,0.0,-1.719295355924485e-30
b0355,-2.3871366726454064e-30,-1.4560535797082898e-29
b0356,-2.3871366726454064e-30,-8.053611529561579e-29
b0365,0.0,0.0
b0366,0.0,0.0
b0367,0.0,0.0
b0368,0.0,0.0
b0369,1.2407707351901758e-14,4.1860550394864404e-13
b0381,6.932026377289837e-11,2.338695064891212e-09
b0383,0.0,-6.972630233752808e-29
b0386,3.395232963831308e-08,1.145468026879126e-06
b0388,0.0,0.0
b0394,0.0,0.0
b0401,2.535815480554846e-34,8.555512273783466e-33
b0403,0.0,1.974513253992845e-29
b0404,0.0,0.0
b0405,6.490983683533e-14,2.189898116472977e-12
b0406,3.8945902101198e-13,1.3139388698837863e-11
b0408,1.795521225629773e-09,6.057646640013929e-08
b0409,1.795521225629773e-09,6.057646640013929e-08
b0411,0.0,-2.212660171343551e-28
b0414,1.9327514756295304e-09,6.52062772369771e-08
b0415,1.9327514756295304e-09,1.0981947935289102e-10
b0416,1.9327514756295304e-09,8.787133228300446e-12
b0417,1.9327514756295304e-09,1.1712330732740778e-09
b0418,1.9327514756295304e-09,5.139254412953966e-10
b0420,2.042283107222736e-08,6.890160487011662e-07
b0421,2.042283107222736e-08,5.4486181825638777e-11
b0423,2.2952838473591627e-13,7.743722707013218e-12
b0425,1.608094153402796e-12,5.425313834298881e-11
b0428,1.2409666337663045e-09,4.086373146271363e-14
b0429,1.2409666337663045e-09,4.1867159530610225e-08
b0430,1.2409666337663045e-09,4.1867159530610225e-08
b0431,1.2409666337663045e-09,4.1867159530610225e-08
b0432,1.2409666337663045e-09,4.1867159530610225e-08
b0433,0.0,0.0
b0436,1.283589697963736e-07,4.330515679812851e-06
b0444,4.219139394296457e-10,1.4234337757074374e-08
b0446,-4.18578323761594e-44,-6.131868709802169e-42
b0451,0.0,0.0
b0452,1.5105466900481583e-09,5.0962127046673766e-08
b0455,4.313332098246415e-08,
b0459,0.0,0.0
b0462,0.0,0.0
b0463,0.0,0.0
b0469,-4.4601665903371725e-45,-1.3679035441716844e-43
b0474,8.258358965069534e-08,2.786167031761813e-06
b0475,6.904421804941487e-16,2.3293819616792827e-14
b0477,0.0,0.0
b0480,0.0,3.683296387079903e-27
b0484,0.0,0.0
b0485,0.0,0.0
b0494,-1.4235367082335103e-29,-4.80266244390546e-28
b0505,2.8837946671358515e-31,9.729213348473997e-30
b0507,0.0,0.0
b0508,0.0,0.0
b0509,0.0,-2.957138727406536e-29
b0511,0.0,-4.9070448038872434e-29
b0512,0.0,0.0
b0514,0.0,-3.036749836095289e-29
b0516,0.0,0.0
b0517,0.0,-5.593884523447158e-30
b0521,0.0,0.0
b0522,1.55190887900409e-08,5.348709184531784e-08
b0523,1.55190887900409e-08,5.23575854872424e-07
b0524,1.3016898115633559e-12,4.3915810076772714e-11
b0526,7.600899051271012e-11,2.5643562405043294e-09
b0529,3.0793936804282143e-09,1.0389116271785267e-07
b0536,2.301652737062138e-09,
b0572,-8.749905061601063e-32,-2.95200258511328e-30
b0573,-8.749905061601063e-32,0.0
b0574,-8.749905061601063e-32,0.0
b0575,-8.749905061601063e-32,0.0
b0576,0.0,-3.720552800164443e-29
b0578,0.0,0.0
b0583,0.0,0.0
b0584,0.0,0.0
b0585,0.0,0.0
b0586,0.0,0.0
b0588,0.0,0.0
b0589,0.0,0.0
b0590,0.0,0.0
b0591,0.0,0.0
b0592,0.0,0.0
b0593,0.0,0.0
b0594,0.0,0.0
b0595,0.0,0.0
b0596,0.0,-2.597999606431569e-29
b0604,0.0,0.0
b0612,0.0,0.0
b0613,0.0,0.0
b0615,0.0,0.0
b0616,0.0,0.0
b0617,0.0,0.0
b0621,0.0,-1.0872307534072747e-29
b0622,0.0,0.0
b0627,1.5157314955313728e-26,1.71563395232947e-25
b0628,8.376369977615115e-16,2.825981042502936e-14
b0630,2.0940929422641077e-16,7.064954117227846e-15
b0632,-4.075015972672838e-29,-1.3748100810111907e-27
b0635,1.0970852119348162e-13,3.4353216324819132e-43
b0636,1.0970852119348162e-13,3.701295452831493e-12
b0638,7.508017400576005e-09,0.0
b0639,7.508017400576005e-09,2.533020257881556e-07
b0642,7.508017400576005e-09,2.7249459009132864e-08
b0650,0.0,0.0
b0651,-3.2817137871981595e-31,-1.1071694510063875e-29
b0652,0.0,0.0
b0653,0.0,0.0
b0654,0.0,0.0
b0655,0.0,0.0
b0657,4.556777093494569e-12,1.5373444243199095e-10
b0661,5.554985485852437e-14,1.8741153645731746e-12
b0662,0.0,0.0
b0664,5.430064795065552e-07,
b0665,5.430064795065552e-07,
b0666,5.430064795065552e-07,
b0668,5.430064795065552e-07,
b0670,5.430064795065552e-07,
b0672,5.430064795065552e-07,
b0673,5.430064795065552e-07,
b0674,5.265901707328467e-10,1.776585613620549e-08
b0677,0.0,0.0
b0678,0.0,0.0
b0679,0.0,0.0
b0680,3.574892455030458e-10,1.2060807168141844e-08
b0684,2.1239456586344199e-16,7.165669833886937e-15
b0688,0.0,0.0
b0692,0.0,-5.451977606105675e-32
b0693,0.0,0.0
b0696,0.0,0.0
b0697,0.0,0.0
b0698,0.0,0.0
b0709,0.0,0.0
b0720,7.657262557676088e-09,2.5833719001534855e-07
b0721,7.003186459845789e-09,2.3627027251095973e-07
b0722,7.003186459845789e-09,2.3627027251095973e-07
b0723,7.003186459845789e-09,2.3627027251095973e-07
b0724,7.003186459845789e-09,2.3627027251095973e-07
b0726,1.1171012782564366e-08,7.12977534792067e-08
b0727,1.1171012782564366e-08,1.425955069584134e-07
