,TranscriptionFlux,TranslationFlux
b0002,1.6024411500158014e-08,0.0
b0003,1.6024411500158014e-08,5.406241992382224e-07
b0004,1.6024411500158014e-08,1.2553408647828667e-09
b0007,0.0,0.0
b0008,0.0,0.0
b0009,0.0,0.0
b0014,1.9014683145589814e-13,3.2075430193650635e-12
b0015,1.9014683145589814e-13,6.415086038730127e-12
b0019,0.0,0.0
b0023,1.283598121795838e-07,4.3305440997488e-06
b0025,1.666625563924105e-11,5.622784405639703e-10
b0026,4.702561422052476e-10,1.5865284682314898e-08
b0027,4.702561422052476e-10,1.5373442223390548e-10
b0029,4.702561422052476e-10,2.6710966465884076e-10
b0030,0.0,0.0
b0031,3.441207085931778e-09,1.1609785640030644e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.0337128157899688e-10,0.0
b0051,2.0337128157899688e-10,3.7013197433750435e-12
b0052,2.0337128157899688e-10,2.520327467064884e-09
b0053,2.0337128157899688e-10,6.861246433331549e-09
b0058,8.085152480097573e-14,2.727731427284288e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,0.0
b0066,0.0,0.0
b0067,0.0,0.0
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.756645492345913e-10,5.926489485342892e-09
b0072,1.756645492345913e-10,5.926489485342892e-09
b0073,1.756645492345913e-10,2.5071485686895387e-09
b0074,1.756645492345913e-10,1.5544875044393052e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.302606917450026e-09,2.1263444325715813e-07
b0099,6.302606917450026e-09,1.1648221815033697e-10
b0103,2.17694982155163e-12,7.344492832367265e-11
b0104,0.0,0.0
b0109,3.759300640836911e-08,1.2682954994185904e-06
b0110,0.0,0.0
b0112,0.0,0.0
b0114,7.519653285726715e-09,2.536945919109095e-07
b0115,7.519653285726715e-09,2.536945919109095e-07
b0116,4.110858345741136e-09,1.386902415309386e-07
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,0.0,0.0
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.149206431729066e-12,1.0624647309965781e-10
b0133,3.2780471330109612e-12,6.796048193018871e-11
b0134,3.2780471330109612e-12,1.1059324121398943e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.2553597141160034e-14,7.609028508947659e-13
b0155,0.0,0.0
b0156,1.2961913368155896e-13,4.373030507351481e-12
b0158,1.963896349641778e-13,0.0
b0159,1.963896349641778e-13,6.625702862170536e-12
b0160,0.0,0.0
b0166,1.0111063134212128e-10,3.4112238133217186e-09
b0168,1.1119262913886689e-13,3.751365601713347e-12
b0169,1.283598121795838e-07,4.3305440997488e-06
b0170,1.283598121795838e-07,2.615987485892373e-07
b0171,0.0,0.0
b0172,1.8880488645058883e-12,6.369812117506254e-11
b0173,4.008230955055757e-08,1.3522784599094363e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.0172471610806312e-11,6.805695367433866e-10
b0177,2.0337128157899686e-10,6.861246433331549e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.29459838406777e-09,2.4725967616965327e-14
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.6493820464136113e-10,1.568587055924107e-08
b0186,0.0,0.0
b0188,1.2802802297673682e-15,4.319350348758116e-14
b0194,5.826900296810178e-10,1.9658527284904656e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,0.0
b0200,0.0,0.0
b0201,1.3935904474612305e-06,
b0202,1.3935904474612305e-06,
b0203,1.3935904474612305e-06,
b0204,1.3935904474612305e-06,
b0205,1.3935904474612305e-06,
b0206,0.0,
b0207,0.0,0.0
b0212,0.0,0.0
b0216,0.0,
b0221,1.5836232762483814e-09,5.3427551183913934e-08
b0222,0.0,0.0
b0237,0.0,0.0
b0238,3.395749568510995e-13,1.1456423165816062e-11
b0241,0.0,0.0
b0242,2.3491666454863438e-08,2.4715025268674716e-07
b0243,2.3491666454863438e-08,7.925510004412156e-07
b0244,4.162926729653974e-07,
b0260,0.0,0.0
b0261,0.0,0.0
b0273,0.0,0.0
b0306,0.0,0.0
b0307,0.0,0.0
b0308,0.0,0.0
b0311,0.0,0.0
b0312,0.0,0.0
b0314,0.0,0.0
b0323,0.0,0.0
b0331,0.0,0.0
b0333,0.0,0.0
b0334,0.0,0.0
b0336,0.0,0.0
b0337,0.0,0.0
b0339,1.3785144113714826e-09,4.650768296724709e-08
b0340,1.3785144113714826e-09,0.0
b0341,0.0,0.0
b0343,0.0,0.0
b0344,0.0,0.0
b0347,1.4431120672010507e-13,0.0
b0348,1.4431120672010507e-13,0.0
b0349,1.4431120672010507e-13,0.0
b0350,1.4431120672010507e-13,0.0
b0351,1.4431120672010507e-13,4.868704886503261e-12
b0352,1.4431120672010507e-13,0.0
b0353,0.0,0.0
b0355,0.0,0.0
b0356,0.0,0.0
b0365,0.0,0.0
b0366,0.0,0.0
b0367,0.0,0.0
b0368,0.0,0.0
b0369,1.2385974759240193e-14,4.17872299767953e-13
b0381,6.932026377289837e-11,2.338695064891212e-09
b0383,0.0,0.0
b0386,3.3951098503828514e-08,1.1454264914321068e-06
b0388,0.0,0.0
b0394,0.0,0.0
b0401,0.0,0.0
b0403,0.0,0.0
b0404,0.0,0.0
b0405,6.490636032420638e-14,2.1897808275452477e-12
b0406,3.894381619452383e-13,1.3138684965271486e-11
b0408,1.7943454929207965e-09,6.053680007265498e-08
b0409,1.7943454929207965e-09,6.053680007265498e-08
b0411,0.0,0.0
b0414,1.932579532282821e-09,6.520047629170505e-08
b0415,1.932579532282821e-09,1.0980970948384582e-10
b0416,1.932579532282821e-09,8.787026886633237e-12
b0417,1.932579532282821e-09,1.171170941685304e-09
b0418,1.932579532282821e-09,5.13925373774353e-10
b0420,2.042275273677118e-08,6.890134058557008e-07
b0421,2.042275273677118e-08,5.4485946410346475e-11
b0423,2.2952052130012953e-13,7.743457414045958e-12
b0425,1.6080941533995904e-12,5.425313834288066e-11
b0428,1.2374010285228365e-09,4.074631981665759e-14
b0429,1.2374010285228365e-09,4.1746864786586055e-08
b0430,1.2374010285228365e-09,4.1746864786586055e-08
b0431,1.2374010285228365e-09,4.1746864786586055e-08
b0432,1.2374010285228365e-09,4.1746864786586055e-08
b0433,0.0,0.0
b0436,1.283598121795838e-07,4.3305440997488e-06
b0444,4.2189134210734213e-10,1.4233575379044132e-08
b0446,0.0,0.0
b0451,0.0,0.0
b0452,1.5105466825622412e-09,5.096212679411735e-08
b0455,4.312328668480852e-08,
b0459,0.0,0.0
b0462,0.0,0.0
b0463,0.0,0.0
b0469,0.0,0.0
b0474,8.257464425652393e-08,2.7858652361819414e-06
b0475,6.884583686880168e-16,2.3226890689691898e-14
b0477,0.0,0.0
b0480,0.0,0.0
b0484,0.0,0.0
b0485,0.0,0.0
b0494,0.0,0.0
b0505,0.0,0.0
b0507,0.0,0.0
b0508,0.0,0.0
b0509,0.0,0.0
b0511,0.0,0.0
b0512,0.0,0.0
b0514,0.0,0.0
b0516,0.0,0.0
b0517,0.0,0.0
b0521,0.0,0.0
b0522,1.551656835941545e-08,5.3478405091464104e-08
b0523,1.551656835941545e-08,5.234908217472695e-07
b0524,1.3016898115633559e-12,4.3915810076772714e-11
b0526,7.600896151439008e-11,2.5643552621723918e-09
b0529,3.0794367495162032e-09,1.03892615762865e-07
b0536,2.3007045252622414e-09,
b0572,0.0,0.0
b0573,0.0,0.0
b0574,0.0,0.0
b0575,0.0,0.0
b0576,0.0,0.0
b0578,0.0,0.0
b0583,0.0,0.0
b0584,0.0,0.0
b0585,0.0,0.0
b0586,0.0,0.0
b0588,0.0,0.0
b0589,0.0,0.0
b0590,0.0,0.0
b0591,0.0,0.0
b0592,0.0,0.0
b0593,0.0,0.0
b0594,0.0,0.0
b0595,0.0,0.0
b0596,0.0,0.0
b0604,0.0,0.0
b0612,0.0,0.0
b0613,0.0,0.0
b0615,0.0,0.0
b0616,0.0,0.0
b0617,0.0,0.0
b0621,0.0,0.0
b0622,0.0,0.0
b0627,0.0,0.0
b0628,8.356147586288205e-16,2.819158505452084e-14
b0630,2.0890373433511472e-16,7.047897770952903e-15
b0632,0.0,0.0
b0635,1.0970924117913135e-13,0.0
b0636,1.0970924117913135e-13,3.7013197433750395e-12
b0638,7.508015559534793e-09,0.0
b0639,7.508015559534793e-09,2.533019636759569e-07
b0642,7.508015559534793e-09,2.7248182739309804e-08
b0650,0.0,0.0
b0651,0.0,0.0
b0652,0.0,0.0
b0653,0.0,0.0
b0654,0.0,0.0
b0655,0.0,0.0
b0657,4.5567764948117256e-12,1.5373442223390548e-10
b0661,5.554291638320044e-14,1.8738812774951003e-12
b0662,0.0,0.0
b0664,5.429970016834594e-07,
b0665,5.429970016834594e-07,
b0666,5.429970016834594e-07,
b0668,5.429970016834594e-07,
b0670,5.429970016834594e-07,
b0672,5.429970016834594e-07,
b0673,5.429970016834594e-07,
b0674,5.265477475141314e-10,1.776442488123261e-08
b0677,0.0,0.0
b0678,0.0,0.0
b0679,0.0,0.0
b0680,3.574714412219865e-10,1.2060206495524906e-08
b0684,2.1229177825147858e-16,7.162202032875413e-15
b0688,0.0,0.0
b0692,0.0,0.0
b0693,0.0,0.0
b0696,0.0,0.0
b0697,0.0,0.0
b0698,0.0,0.0
b0709,0.0,0.0
b0720,7.635656406185072e-09,2.5760825164851145e-07
b0721,6.979604719736528e-09,2.354746826471393e-07
b0722,6.979604719736528e-09,2.354746826471393e-07
b0723,6.979604719736528e-09,2.354746826471393e-07
b0724,6.979604719736528e-09,2.354746826471393e-07
b0726,1.112994085254484e-08,7.105767345290291e-08
b0727,1.112994085254484e-08,1.4211534690580582e-07
b0728,1.112994085254484e-08,3.754968075374561e-07
b0729,1.112994085254484e-08,3.754968075374561e-07
b0731,0.0,0.0
b0732,0.0,0.0
b0733,0.0,0.0
