,TranscriptionFlux,TranslationFlux
b0002,1.6023387478488953e-08,0.0
b0003,1.6023387478488953e-08,5.405896512677815e-07
b0004,1.6023387478488953e-08,1.2552606436622607e-09
b0007,0.0,0.0
b0008,0.0,0.0
b0009,0.0,0.0
b0014,1.8299896114165209e-13,3.086967244558612e-12
b0015,1.8299896114165209e-13,6.173934489117224e-12
b0019,0.0,0.0
b0023,1.2835976782362884e-07,4.330542603288064e-06
b0025,1.676728519636705e-11,5.656869291328077e-10
b0026,4.702661475962424e-10,1.5865622239578362e-08
b0027,4.702661475962424e-10,1.5373453624926227e-10
b0029,4.702661475962424e-10,2.671120304666635e-10
b0030,0.0,0.0
b0031,3.441079591695354e-09,1.1609355505860202e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.0534821671329787e-10,0.0
b0051,2.0534821671329787e-10,3.7013184643487735e-12
b0052,2.0534821671329787e-10,2.5202631085008374e-09
b0053,2.0534821671329787e-10,6.9279433584521276e-09
b0058,8.085285198903591e-14,2.727776203342508e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,0.0
b0066,0.0,0.0
b0067,0.0,3.0943349429093163e-37
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.7565792713439166e-10,5.926266071982742e-09
b0072,1.7565792713439166e-10,5.926266071982742e-09
b0073,1.7565792713439166e-10,2.5070540556582554e-09
b0074,1.7565792713439166e-10,1.5544289042717797e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.307666077354393e-09,2.1280512685899209e-07
b0099,6.307666077354393e-09,1.1648221815033697e-10
b0103,2.182776468046402e-12,7.364150503386568e-11
b0104,0.0,0.0
b0109,3.759301395453028e-08,1.2682957540074931e-06
b0110,0.0,0.0
b0112,3.093068405710335e-38,1.0435251428794784e-36
b0114,7.60004138277181e-09,2.564066884264577e-07
b0115,7.60004138277181e-09,2.564066884264577e-07
b0116,4.157760739511721e-09,1.4027261284450153e-07
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,0.0,0.0
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.157635341038362e-12,1.0653084375163122e-10
b0133,3.2868208868422012e-12,6.81423794180873e-11
b0134,3.2868208868422012e-12,1.108892460712836e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.2777526392883145e-14,7.684576726364334e-13
b0155,0.0,0.0
b0156,1.3110980824053373e-13,4.4233221976118426e-12
b0158,1.964944650522851e-13,0.0
b0159,1.964944650522851e-13,6.629239571299513e-12
b0160,0.0,0.0
b0166,1.011068852662777e-10,3.411097429943883e-09
b0168,1.114003481534643e-13,3.758373529956588e-12
b0169,1.2835976782362884e-07,4.330542603288064e-06
b0170,1.2835976782362884e-07,2.6159842065012754e-07
b0171,0.0,0.0
b0172,1.8884800885751447e-12,6.371266961368269e-11
b0173,4.008266456220273e-08,1.3522904371284675e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.0172479475860414e-11,6.805698020909518e-10
b0177,2.0534821671329787e-10,6.9279433584521276e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.811392584779654e-09,9.484946544687703e-08
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.060823210216907e-09,1.3700217922198607e-07
b0186,0.0,0.0
b0188,1.2799527118871406e-15,4.31824538405016e-14
b0194,5.827641322692404e-10,1.9661027323824582e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,0.0
b0200,0.0,0.0
b0201,1.393567791357735e-06,
b0202,1.393567791357735e-06,
b0203,1.393567791357735e-06,
b0204,1.393567791357735e-06,
b0205,1.393567791357735e-06,
b0206,0.0,
b0207,0.0,0.0
b0212,0.0,0.0
b0216,0.0,
b0221,9.750746886156113e-10,3.289661980566811e-08
b0222,0.0,0.0
b0237,0.0,0.0
b0238,8.202551098775625e-10,2.767338831408845e-08
b0241,0.0,0.0
b0242,2.349465396657171e-08,2.471816835890641e-07
b0243,2.349465396657171e-08,7.926517917323645e-07
b0244,4.161331829012203e-07,
b0260,0.0,0.0
b0261,0.0,0.0
b0273,0.0,0.0
b0306,0.0,0.0
b0307,0.0,0.0
b0308,0.0,0.0
b0311,0.0,0.0
b0312,0.0,0.0
b0314,0.0,0.0
b0323,0.0,0.0
b0331,0.0,0.0
b0333,0.0,0.0
b0334,0.0,0.0
b0336,0.0,0.0
b0337,0.0,0.0
b0339,3.98295564928737e-09,1.3437511939056887e-07
b0340,3.98295564928737e-09,0.0
b0341,0.0,0.0
b0343,0.0,0.0
b0344,0.0,0.0
b0347,1.4431469967287797e-13,0.0
b0348,1.4431469967287797e-13,0.0
b0349,1.4431469967287797e-13,0.0
b0350,1.4431469967287797e-13,0.0
b0351,1.4431469967287797e-13,4.868822730131765e-12
b0352,1.4431469967287797e-13,0.0
b0353,0.0,0.0
b0355,0.0,0.0
b0356,0.0,0.0
b0365,0.0,0.0
b0366,0.0,0.0
b0367,0.0,0.0
b0368,0.0,0.0
b0369,1.2508952129206434e-14,4.2202125351653625e-13
b0381,6.932026377289837e-11,2.338695064891212e-09
b0383,0.0,0.0
b0386,3.395541617556473e-08,1.1455721590483527e-06
b0388,0.0,0.0
b0394,0.0,0.0
b0401,0.0,0.0
b0403,0.0,0.0
b0404,0.0,0.0
b0405,6.490793133768777e-14,2.189833829672993e-12
b0406,3.8944758802612665e-13,1.3139002978037958e-11
b0408,1.8005000395212737e-09,6.07444393252743e-08
b0409,1.8005000395212737e-09,6.07444393252743e-08
b0411,0.0,0.0
b0414,1.933542293642434e-09,6.523295749009996e-08
b0415,1.933542293642434e-09,1.0986441385354205e-10
b0416,1.933542293642434e-09,8.787128891472241e-12
b0417,1.933542293642434e-09,1.1714935814961454e-09
b0418,1.933542293642434e-09,5.139257549211645e-10
b0420,2.042294059237793e-08,6.890197436414579e-07
b0421,2.042294059237793e-08,5.448727652193834e-11
b0423,2.295238466552057e-13,7.743569603340724e-12
b0425,1.6123982471684999e-12,5.439834787193201e-11
b0428,1.2575469282219515e-09,4.1409703192954254e-14
b0429,1.2575469282219515e-09,4.242653785243688e-08
b0430,1.2575469282219515e-09,4.242653785243688e-08
b0431,1.2575469282219515e-09,4.242653785243688e-08
b0432,1.2575469282219515e-09,4.242653785243688e-08
b0433,0.0,0.0
b0436,1.2835976782362884e-07,4.330542603288064e-06
b0444,4.219015536949712e-10,1.4233919892874477e-08
b0446,0.0,0.0
b0451,0.0,0.0
b0452,1.510550962441442e-09,5.096227118670648e-08
b0455,4.316331259009306e-08,
b0459,0.0,0.0
b0462,0.0,0.0
b0463,0.0,0.0
b0469,0.0,0.0
b0474,8.258613672025811e-08,2.7862529636191396e-06
b0475,6.996670333997005e-16,2.3605043446454538e-14
b0477,0.0,0.0
b0480,0.0,0.0
b0484,0.0,0.0
b0485,0.0,0.0
b0494,0.0,0.0
b0505,0.0,0.0
b0507,0.0,0.0
b0508,0.0,0.0
b0509,0.0,0.0
b0511,0.0,0.0
b0512,0.0,0.0
b0514,0.0,0.0
b0516,0.0,0.0
b0517,0.0,0.0
b0521,0.0,0.0
b0522,1.5526224339466325e-08,5.3511684770369565e-08
b0523,1.5526224339466325e-08,5.238165907455765e-07
b0524,1.3016898115633559e-12,4.3915810076772714e-11
b0526,7.601712341085602e-11,2.564630624468294e-09
b0529,3.08027606845257e-09,1.0392093231775841e-07
b0536,2.292265181741068e-09,
b0572,0.0,0.0
b0573,0.0,0.0
b0574,0.0,0.0
b0575,0.0,0.0
b0576,0.0,0.0
b0578,0.0,0.0
b0583,0.0,0.0
b0584,0.0,0.0
b0585,0.0,0.0
b0586,0.0,0.0
b0588,0.0,0.0
b0589,0.0,0.0
b0590,0.0,0.0
b0591,0.0,0.0
b0592,0.0,0.0
b0593,0.0,0.0
b0594,0.0,0.0
b0595,0.0,0.0
b0596,0.0,0.0
b0604,0.0,0.0
b0612,0.0,0.0
b0613,0.0,0.0
b0615,0.0,0.0
b0616,0.0,0.0
b0617,0.0,0.0
b0621,0.0,0.0
b0622,0.0,0.0
b0627,0.0,0.0
b0628,8.470740325328545e-16,2.8578192748548094e-14
b0630,2.1176855342381753e-16,7.144549715130513e-15
b0632,0.0,0.0
b0635,1.0970920326805874e-13,0.0
b0636,1.0970920326805874e-13,3.7013184643487694e-12
b0638,7.508017066642121e-09,0.0
b0639,7.508017066642121e-09,2.5330201452204835e-07
b0642,7.508017066642121e-09,2.7247155553135112e-08
b0650,0.0,0.0
b0651,0.0,0.0
b0652,0.0,0.0
b0653,0.0,0.0
b0654,0.0,0.0
b0655,0.0,0.0
b0657,4.556779874292328e-12,1.5373453624926227e-10
b0661,5.5544396894752386e-14,1.8739312263105204e-12
b0662,0.0,0.0
b0664,5.429785504721907e-07,
b0665,5.429785504721907e-07,
b0666,5.429785504721907e-07,
b0668,5.429785504721907e-07,
b0670,5.429785504721907e-07,
b0672,5.429785504721907e-07,
b0673,5.429785504721907e-07,
b0674,5.265740160857117e-10,1.7765311118176512e-08
b0677,9.471203534332837e-32,0.0
b0678,1.1902910597425412e-31,0.0
b0679,0.0,0.0
b0680,3.5744128180476667e-10,1.2059188991026612e-08
b0684,2.1248947445117253e-16,7.168871816015401e-15
b0688,0.0,0.0
b0692,0.0,0.0
b0693,0.0,0.0
b0696,0.0,0.0
b0697,0.0,0.0
b0698,0.0,0.0
b0709,0.0,0.0
b0720,7.758057703468315e-09,2.6173777012279804e-07
b0721,7.1129875311911395e-09,2.3997469037809906e-07
b0722,7.1129875311911395e-09,2.3997469037809906e-07
b0723,7.1129875311911395e-09,2.3997469037809906e-07
b0724,7.1129875311911395e-09,2.3997469037809906e-07
b0726,1.1362186737536673e-08,7.241561178763613e-08
b0727,1.1362186737536673e-08,1.4483122357527227e-07
b0728,1.1362186737536673e-08,3.8333221201386033e-07
b0729,1.1362186737536673e-08,3.8333221201386033e-07
b0731,0.0,0.0
b0732,0.0,0.0
b0733,0.0,0.0
b0734,0.0,0.0
b0736,0.0,0.0
b0743,0.0,
b0744,0.0,
b0745,0.0,
b0746,1.7888323981016928e-06,
b0747,1.7888323981016928e-06,
b0748,0.0,
b0749,0.0,
