,TranscriptionFlux,TranslationFlux
b0002,1.602367263507149e-08,0.0
b0003,1.602367263507149e-08,5.40599271748951e-07
b0004,1.602367263507149e-08,1.2552829826237204e-09
b0007,0.0,0.0
b0008,0.0,0.0
b0009,0.0,0.0
b0014,1.8402066650025982e-13,3.1042021564725143e-12
b0015,1.8402066650025982e-13,6.2084043129450286e-12
b0019,0.0,0.0
b0023,1.283590160496068e-07,4.3305172402830845e-06
b0025,1.6684060333012926e-11,5.628791271048151e-10
b0026,4.702489133172483e-10,1.5865040797428017e-08
b0027,4.702489133172483e-10,1.537344444335301e-10
b0029,4.702489133172483e-10,2.6711064500573396e-10
b0030,0.0,0.0
b0031,3.441131452083239e-09,1.1609530470043269e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.037562053216128e-10,0.0
b0051,2.037562053216128e-10,3.70129678656674e-12
b0052,2.037562053216128e-10,2.5203852262974526e-09
b0053,2.037562053216128e-10,6.874232812901085e-09
b0058,8.085389570000322e-14,2.727811415581406e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,0.0
b0066,0.0,0.0
b0067,0.0,0.0
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.7567259850299138e-10,5.926761047845092e-09
b0072,1.7567259850299138e-10,5.926761047845092e-09
b0073,1.7567259850299138e-10,2.5072634507863317e-09
b0074,1.7567259850299138e-10,1.5545587338774722e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.303591967111288e-09,2.1266767640798705e-07
b0099,6.303591967111288e-09,1.1648221815033697e-10
b0103,2.176949821556145e-12,7.344492832382496e-11
b0104,0.0,0.0
b0109,3.759301550156793e-08,1.2682958062007352e-06
b0110,0.0,0.0
b0112,0.0,0.0
b0114,7.532025531720701e-09,2.5411200103593177e-07
b0115,7.532025531720701e-09,2.5411200103593177e-07
b0116,4.118145787588572e-09,1.3893610188052001e-07
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,0.0,0.0
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.149206431735597e-12,1.0624647309987815e-10
b0133,3.278047133017759e-12,6.796048193032965e-11
b0134,3.278047133017759e-12,1.1059324121421877e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.2592692030602296e-14,7.622218162307984e-13
b0155,0.0,0.0
b0156,1.2987244168882876e-13,4.381576495988226e-12
b0158,1.9638919121803824e-13,0.0
b0159,1.9638919121803824e-13,6.625687891268088e-12
b0160,0.0,0.0
b0166,1.0110840904454207e-10,3.4111488384716767e-09
b0168,1.1122607105340095e-13,3.752493849591017e-12
b0169,1.283590160496068e-07,4.3305172402830845e-06
b0170,1.283590160496068e-07,2.615970420360301e-07
b0171,0.0,0.0
b0172,1.888189932556663e-12,6.370288046385061e-11
b0173,4.008245666080043e-08,1.3522834230469123e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.017247314218992e-11,6.805695884084999e-10
b0177,2.0375620532161276e-10,6.874232812901085e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.29459838406777e-09,2.4725967616965327e-14
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.6493820464136113e-10,1.568587055924107e-08
b0186,0.0,0.0
b0188,1.2805176617210888e-15,4.3201513857250735e-14
b0194,5.827121027815092e-10,1.965927197698135e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,0.0
b0200,0.0,0.0
b0201,1.8608597290321184e-06,
b0202,1.8608597290321184e-06,
b0203,1.8608597290321184e-06,
b0204,1.8608597290321184e-06,
b0205,1.8608597290321184e-06,
b0206,0.0,
b0207,0.0,0.0
b0212,0.0,0.0
b0216,0.0,
b0221,1.5836232820512949e-09,5.342755137968995e-08
b0222,0.0,0.0
b0237,0.0,0.0
b0238,8.237738997775952e-10,2.7792103623663088e-08
b0241,0.0,0.0
b0242,2.3492556351528826e-08,2.471596150785612e-07
b0243,2.3492556351528826e-08,7.925810233641869e-07
b0244,4.16281931716701e-07,
b0260,0.0,0.0
b0261,0.0,0.0
b0273,0.0,0.0
b0306,0.0,0.0
b0307,0.0,0.0
b0308,0.0,0.0
b0311,0.0,0.0
b0312,0.0,0.0
b0314,0.0,0.0
b0323,0.0,0.0
b0331,0.0,0.0
b0333,0.0,0.0
b0334,0.0,0.0
b0336,0.0,0.0
b0337,0.0,0.0
b0339,1.3837538937907726e-09,4.6684450206862936e-08
b0340,1.3837538937907726e-09,0.0
b0341,0.0,0.0
b0343,0.0,0.0
b0344,0.0,0.0
b0347,1.4431906802284938e-13,0.0
b0348,1.4431906802284938e-13,0.0
b0349,1.4431906802284938e-13,0.0
b0350,1.4431906802284938e-13,0.0
b0351,1.4431906802284938e-13,4.868970107506919e-12
b0352,1.4431906802284938e-13,0.0
b0353,0.0,0.0
b0355,0.0,0.0
b0356,0.0,0.0
b0365,0.0,0.0
b0366,0.0,0.0
b0367,0.0,0.0
b0368,0.0,0.0
b0369,1.2407444873777418e-14,4.1859664858283e-13
b0381,6.932026377289837e-11,2.338695064891212e-09
b0383,0.0,0.0
b0386,3.395238461817901e-08,1.1454698817644671e-06
b0388,0.0,0.0
b0394,0.0,0.0
b0401,0.0,0.0
b0403,0.0,0.0
b0404,0.0,0.0
b0405,6.490989607558797e-14,2.1899001150934587e-12
b0406,3.894593764535278e-13,1.3139400690560752e-11
b0408,1.7956117988734482e-09,6.057952211843096e-08
b0409,1.7956117988734482e-09,6.057952211843096e-08
b0411,0.0,0.0
b0414,1.9327540193136974e-09,6.52063630546195e-08
b0415,1.9327540193136974e-09,1.0981962388573674e-10
b0416,1.9327540193136974e-09,8.78713713951247e-12
b0417,1.9327540193136974e-09,1.1712259686012694e-09
b0418,1.9327540193136974e-09,5.139254479864274e-10
b0420,2.0422830567379047e-08,6.890160316688269e-07
b0421,2.0422830567379047e-08,5.4486179065940746e-11
b0423,2.2952824630704285e-13,7.743718036763775e-12
b0425,1.6080941534029252e-12,5.425313834299317e-11
b0428,1.2409248353186627e-09,4.086235508361243e-14
b0429,1.2409248353186627e-09,4.1865749353875465e-08
b0430,1.2409248353186627e-09,4.1865749353875465e-08
b0431,1.2409248353186627e-09,4.1865749353875465e-08
b0432,1.2409248353186627e-09,4.1865749353875465e-08
b0433,0.0,0.0
b0436,1.283590160496068e-07,4.3305172402830845e-06
b0444,4.2191432449132247e-10,1.4234350748107504e-08
b0446,0.0,0.0
b0451,0.0,0.0
b0452,1.5105466904646324e-09,5.0962127060724574e-08
b0455,4.3133377078481326e-08,
b0459,0.0,0.0
b0462,0.0,0.0
b0463,0.0,0.0
b0469,0.0,0.0
b0474,8.2605461045602e-08,2.7869049187885858e-06
b0475,6.904189249040741e-16,2.3293035030428344e-14
b0477,0.0,0.0
b0480,0.0,0.0
b0484,0.0,0.0
b0485,0.0,0.0
b0494,0.0,0.0
b0505,0.0,0.0
b0507,0.0,0.0
b0508,0.0,0.0
b0509,0.0,0.0
b0511,0.0,0.0
b0512,0.0,0.0
b0514,0.0,0.0
b0516,0.0,0.0
b0517,0.0,0.0
b0521,0.0,0.0
b0522,1.5594630239932597e-08,5.3747448140919325e-08
b0523,1.5594630239932597e-08,5.261244374432466e-07
b0524,1.3016898115633559e-12,4.3915810076772714e-11
b0526,7.600895027648559e-11,2.564354883033157e-09
b0529,3.0877027085829998e-09,1.0417148887476546e-07
b0536,2.3018378105531675e-09,
b0572,0.0,0.0
b0573,0.0,0.0
b0574,0.0,0.0
b0575,0.0,0.0
b0576,0.0,0.0
b0578,0.0,0.0
b0583,0.0,0.0
b0584,0.0,0.0
b0585,0.0,0.0
b0586,0.0,0.0
b0588,0.0,0.0
b0589,0.0,0.0
b0590,0.0,0.0
b0591,0.0,0.0
b0592,0.0,0.0
b0593,0.0,0.0
b0594,0.0,0.0
b0595,0.0,0.0
b0596,0.0,0.0
b0604,0.0,0.0
b0612,0.0,0.0
b0613,0.0,0.0
b0615,0.0,0.0
b0616,0.0,0.0
b0617,0.0,0.0
b0621,0.0,0.0
b0622,0.0,0.0
b0627,0.0,0.0
b0628,8.374372705039506e-16,2.825307211899648e-14
b0630,2.093593624013417e-16,7.0632695403593484e-15
b0632,0.0,0.0
b0635,1.0970856072615957e-13,0.0
b0636,1.0970856072615957e-13,3.701296786566736e-12
b0638,7.508017375614025e-09,0.0
b0639,7.508017375614025e-09,2.533020249459998e-07
b0642,7.508017375614025e-09,2.7249431300486427e-08
b0650,0.0,0.0
b0651,0.0,0.0
b0652,0.0,0.0
b0653,0.0,0.0
b0654,0.0,0.0
b0655,0.0,0.0
b0657,4.5567771528213385e-12,1.537344444335301e-10
b0661,5.554971485470834e-14,1.8741106411890474e-12
b0662,0.0,0.0
b0664,5.430065086668564e-07,
b0665,5.430065086668564e-07,
b0666,5.430065086668564e-07,
b0668,5.430065086668564e-07,
b0670,5.430065086668564e-07,
b0672,5.430065086668564e-07,
b0673,5.430065086668564e-07,
b0674,5.265903140421241e-10,1.7765860971107746e-08
b0677,0.0,0.0
b0678,0.0,0.0
b0679,0.0,0.0
b0680,3.574885923004521e-10,1.2060785130694221e-08
b0684,2.137820897795977e-16,7.212481475368321e-15
b0688,0.0,0.0
b0692,0.0,0.0
b0693,0.0,0.0
b0696,0.0,0.0
b0697,0.0,0.0
b0698,0.0,0.0
b0709,0.0,0.0
b0720,7.655717410865648e-09,2.5828506056540957e-07
b0721,7.001502371445875e-09,2.3621345551380254e-07
b0722,7.001502371445875e-09,2.3621345551380254e-07
b0723,7.001502371445875e-09,2.3621345551380254e-07
b0724,7.001502371445875e-09,2.3621345551380254e-07
b0726,1.1168079831665958e-08,7.128060817532479e-08
b0727,1.1168079831665958e-08,1.4256121635064958e-07
b0728,1.1168079831665958e-08,3.7678352281226757e-07
b0729,1.1168079831665958e-08,3.7678352281226757e-07
b0731,0.0,0.0
b0732,0.0,0.0
b0733,0.0,0.0
b0734,0.0,0.0
b0736,0.0,0.0
b0743,0.0,
b0744,0.0,
b0745,0.0,
b0746,1.7888617481221628e-06,
b0747,1.7888617481221628e-06,
b0748,0.0,
b0749,0.0,
b0750,3.759301550156793e-08,1.2682958062007352e-06
b0751,3.759301550156793e-08,0.0
b0752,0.0,0.0
b0754,0.0,0.0
b0755,0.0,0.0
b0756,0.0,0.0
b0757,0.0,0.0
b0758,0.0,0.0
b0759,0.0,0.0
b0763,0.0,0.0
b0764,0.0,0.0
b0765,0.0,0.0
b0766,0.0,0.0
b0767,1.6991149093531983e-08,5.732395459725553e-07
b0774,2.0240081366477622e-16,6.8285052347541936e-15
b0775,3.3545941144367106e-16,7.95017057066615e-15
b0776,3.3545941144367106e-16,7.522891299459484e-15
b0777,3.3545941144367106e-16,8.450401645854446e-15
b0778,3.3545941144367106e-16,1.1317574794361196e-14
b0781,0.0,0.0
b0783,0.0,0.0
b0784,0.0,0.0
b0785,0.0,0.0
b0789,0.0,0.0
b0805,0.0,0.0
b0807,5.485428036307978e-14,1.850648393283368e-12
b0809,0.0,0.0
b0810,0.0,0.0
b0811,0.0,0.0
b0813,0.0,0.0
b0822,0.0,0.0
b0825,0.0,0.0
b0826,0.0,0.0
b0827,0.0,0.0
b0828,0.0,0.0
b0829,0.0,0.0
b0830,0.0,0.0
b0831,0.0,0.0
b0832,0.0,0.0
b0837,0.0,0.0
b0839,0.0,0.0
b0841,1.0570039466614879e-10,3.566071129974868e-09
b0842,0.0,0.0
b0849,0.0,0.0
b0854,0.0,0.0
b0855,0.0,0.0
b0856,0.0,0.0
b0857,0.0,0.0
b0859,5.485428036307978e-14,1.850648393283368e-12
b0860,0.0,0.0
b0861,0.0,0.0
b0862,0.0,0.0
b0863,0.0,0.0
b0864,0.0,0.0
b0870,0.0,0.0
b0871,0.0,0.0
b0875,0.0,0.0
b0883,0.0,
b0884,3.078304692524204e-11,1.0385442294656184e-09
b0886,0.0,0.0
b0887,0.0,0.0
b0888,7.120336136089481e-10,2.4022261421846256e-08
b0891,3.291005721482081e-10,1.1103043209088295e-08
b0893,7.968337540771306e-10,2.6883209422055058e-08
b0894,0.0,0.0
b0895,0.0,0.0
b0896,0.0,0.0
b0902,1.0689106775042159e-16,3.606241508945299e-15
b0903,0.0,0.0
